,         reaching_goal_metric,  time_metric,         distance_metric,   colliding_metric, avg_velocity_metric
Config 0, 0.903,                 21.868881506090755,  8.675214433257807, 0.074,            1.4022391226496504
Config 1, 0.884,                 21.118325791855177,  7.965197654543985, 0.021,            1.3939032317079418
