,reaching_goal_metric,colliding_metric,time_metric,distance_metric,avg_velocity_metric,avg_acceleration_metric
Config 0,1.0,0.0,22.27999999999995,8.818626181847673,1.3953390492971445,1.0649282750942979
Config 1,1.0,0.0,117.79999999999613,49.13312633814428,1.389888828573667,1.2574936344434426
Config 2,0.8,0.0,29.25,9.447484338635293,1.3417165835965124,1.0708605957394703
Config 3,0.0,1.0,,,,
