,reaching_goal_metric,time_metric,distance_metric,colliding_metric,avg_velocity_metric
Config 0,0.903,21.868881506090755,8.675214433257807,0.074,1.4022391226496504
Config 1,0.787,23.94180432020327,8.277434640101346,0.011,1.373969851125193
